champion name,home,away,time,score
الكونفيدرالية الإفريقية,يانج افريكانز,اتحاد العاصمة,16:00, 1 - 2
الدوري الإنجليزي,استون فيلا,برايتون,18:30, 2 - 1
الدوري الإنجليزي,أرسنال,وولفرهامبتون,18:30, 5 - 0
الدوري الإنجليزي,برينتفورد,مانشستر سيتي,18:30, 1 - 0
الدوري الإنجليزي,ليدز يونايتد,توتنهام هوتسبر,18:30, 1 - 4
الدوري الإنجليزي,ايفرتون,بورنموث,18:30, 1 - 0
الدوري الإنجليزي,كريستال بالاس,نوتينجهام فورست,18:30, 1 - 1
الدوري الإنجليزي,تشيلسي,نيوكاسل,18:30, 1 - 1
الدوري الإنجليزي,مانشستر يونايتد,فولهام,18:30, 2 - 1
الدوري الإنجليزي,ساوثامبتون,ليفربول,18:30, 4 - 4
الدوري الإنجليزي,ليستر سيتي,وست هام يونايتد,18:30, 2 - 1
كأس مصر,حرس الحدود,غزل المحلة,19:00, 3 - 2
كأس مصر,إنبي,فيوتشر اف سي,21:30, 1 - 1
الدوري الإسباني,رايو فاييكانو,فياريال,20:00, 2 - 1
الدوري الإسباني,جيرونا,ريال بيتيس,20:00, 1 - 2
الدوري الإسباني,خيتافي,أوساسونا,20:00, 2 - 1
الدوري الإسباني,اتلتيكو مدريد,ريال سوسيداد,20:00, 2 - 1
الدوري الإسباني,قادش,سيلتا فيجو,20:00, 1 - 0
الدوري الإسباني,اتليتك بلباو,إلتشي,20:00, 0 - 1
الدوري الإسباني,برشلونة,مايوركا,20:00, 3 - 0
الدوري الإسباني,فالنسيا,اسبانيول,20:00, 2 - 2
الدوري الإسباني,الميريا,بلد الوليد,20:00, 0 - 0
الدوري الإيطالي,هيلاس فيرونا,إمبولي,13:30, 1 - 1
الدوري الإيطالي,بولونيا,نابولي,16:00, 2 - 2
الدوري الإيطالي,مونزا,ليتشي,16:00, 0 - 1
الدوري الإيطالي,لاتسيو,كريمونيسي,19:00, 3 - 2
الدوري الإيطالي,يوفنتوس,ميلان,21:45, 0 - 1
